id,acorn,acorn-grouped,aff
2469,ACORN-E,Affluent,1
2478,ACORN-E,Affluent,1
2481,ACORN-C,Affluent,1
2487,ACORN-F,Comfortable,0
2492,ACORN-E,Affluent,1
2494,ACORN-E,Affluent,1
2506,ACORN-E,Affluent,1
2509,ACORN-E,Affluent,1
2517,ACORN-E,Affluent,1
2518,ACORN-E,Affluent,1
2525,ACORN-E,Affluent,1
2527,ACORN-Q,Adversity,0
2540,ACORN-I,Comfortable,0
2554,ACORN-F,Comfortable,0
2558,ACORN-E,Affluent,1
2563,ACORN-A,Affluent,1
2564,ACORN-E,Affluent,1
2569,ACORN-Q,Adversity,0
2576,ACORN-Q,Adversity,0
2581,ACORN-E,Affluent,1
2588,ACORN-E,Affluent,1
2592,ACORN-H,Comfortable,0
2600,ACORN-Q,Adversity,0
2603,ACORN-E,Affluent,1
2605,ACORN-E,Affluent,1
2608,ACORN-E,Affluent,1
2611,ACORN-E,Affluent,1
2616,ACORN-E,Affluent,1
2627,ACORN-D,Affluent,1
2632,ACORN-Q,Adversity,0
2657,ACORN-K,Adversity,0
2659,ACORN-Q,Adversity,0
2685,ACORN-Q,Adversity,0
2688,ACORN-H,Comfortable,0
2697,ACORN-E,Affluent,1
2698,ACORN-F,Comfortable,0
2699,ACORN-G,Comfortable,0
2714,ACORN-I,Comfortable,0
2718,ACORN-G,Comfortable,0
2720,ACORN-U,ACORN-U,0
2723,ACORN-Q,Adversity,0
2733,ACORN-F,Comfortable,0
2736,ACORN-Q,Adversity,0
2737,ACORN-E,Affluent,1
2745,ACORN-I,Comfortable,0
2751,ACORN-D,Affluent,1
2752,ACORN-E,Affluent,1
2753,ACORN-F,Comfortable,0
2756,ACORN-E,Affluent,1
2760,ACORN-M,Adversity,0
2763,ACORN-H,Comfortable,0
2771,ACORN-Q,Adversity,0
2776,ACORN-H,Comfortable,0
2777,ACORN-E,Affluent,1
2781,ACORN-Q,Adversity,0
2783,ACORN-F,Comfortable,0
2790,ACORN-E,Affluent,1
2799,ACORN-F,Comfortable,0
2806,ACORN-L,Adversity,0
2810,ACORN-E,Affluent,1
2816,ACORN-N,Adversity,0
2822,ACORN-H,Comfortable,0
2828,ACORN-H,Comfortable,0
2831,ACORN-E,Affluent,1
2853,ACORN-E,Affluent,1
2856,ACORN-Q,Adversity,0
2862,ACORN-C,Affluent,1
2863,ACORN-P,Adversity,0
2876,ACORN-E,Affluent,1
2893,ACORN-O,Adversity,0
2899,ACORN-Q,Adversity,0
2906,ACORN-Q,Adversity,0
2912,ACORN-H,Comfortable,0
2913,ACORN-M,Adversity,0
2934,ACORN-Q,Adversity,0
2940,ACORN-P,Adversity,0
2949,ACORN-E,Affluent,1
2962,ACORN-H,Comfortable,0
2966,ACORN-E,Affluent,1
2967,ACORN-Q,Adversity,0
2968,ACORN-E,Affluent,1
2969,ACORN-Q,Adversity,0
2974,ACORN-E,Affluent,1
2979,ACORN-P,Adversity,0
2988,ACORN-Q,Adversity,0
2991,ACORN-M,Adversity,0
2993,ACORN-Q,Adversity,0
2994,ACORN-F,Comfortable,0
2996,ACORN-K,Adversity,0
3000,ACORN-H,Comfortable,0
3002,ACORN-H,Comfortable,0
3003,ACORN-Q,Adversity,0
3004,ACORN-E,Affluent,1
3005,ACORN-E,Affluent,1
3012,ACORN-H,Comfortable,0
3015,ACORN-K,Adversity,0
3032,ACORN-Q,Adversity,0
3034,ACORN-F,Comfortable,0
3038,ACORN-Q,Adversity,0
3048,ACORN-K,Adversity,0
3064,ACORN-Q,Adversity,0
3073,ACORN-E,Affluent,1
3081,ACORN-H,Comfortable,0
3090,ACORN-L,Adversity,0
3093,ACORN-D,Affluent,1
3107,ACORN-M,Adversity,0
3109,ACORN-L,Adversity,0
